"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AuteurAPSR","AuteurAPSR","","","",1,*,"","","","null {[]} {[]}
","Auteur APSR","Modèle logique métier de l'élément Auteur APSR
  - La structure de cet élément est identique à celle de l’élément Auteur","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AuteurAPSR.roleFonctionnel","AuteurAPSR.roleFonctionnel","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Rôle fonctionnel de l’auteur. A utiliser uniquement si l'auteur est un professionnel.","Rôle fonctionnel de l’auteur. A utiliser uniquement si l'auteur est un professionnel.","","","","","","","","","",,,,,"",,,,"Auteur.roleFonctionnel",0,1,"",""
"AuteurAPSR.horodatageParticipation","AuteurAPSR.horodatageParticipation","","","",1,1,"","","","time {[]} {[]}
","Horodatage de la participation de l’auteur.","Horodatage de la participation de l’auteur.","","","","","","","","","",,,,,"",,,,"Auteur.horodatageParticipation",1,1,"",""
"AuteurAPSR.auteur[x]","AuteurAPSR.auteur[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/PersonneStructureAuteur {[]} {[]}
https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/SystemeStructureAuteur {[]} {[]}","Auteur du document : ce peut être un professionnel, un patient/usager ou un système. Pour un professionnel ou un système, la structure de rattachement doit être précisée.","Auteur du document : ce peut être un professionnel, un patient/usager ou un système. Pour un professionnel ou un système, la structure de rattachement doit être précisée.","","","","","","","","","",,,,,"",,,,"Auteur.auteur[x]",1,1,"",""
