"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"QuantiteProduit","QuantiteProduit","","","",0,*,"","","","null {[]} {[]}
","Quantité de produit","Modèle logique métier de l'entrée Quantité de produit","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"QuantiteProduit.independant","QuantiteProduit.independant","","","",1,1,"","","","boolean {[]} {[]}
","Booléen. Valeur fixée à 'false'","Booléen. Valeur fixée à 'false'","","","","","","","","","",,,,,"",,,,"QuantiteProduit.independant",1,1,"",""
"QuantiteProduit.quantiteProduit","QuantiteProduit.quantiteProduit","","","",1,1,"","","","Quantity {[]} {[]}
","Quantité de produit","Quantité de produit","","","","","","","","","",,,,,"",,,,"QuantiteProduit.quantiteProduit",1,1,"",""
