"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrCriticite","FrCriticite","","","",0,*,"","","","null {[]} {[]}
","Criticite","Entrée Criticite","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrCriticite.identifiant","FrCriticite.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"FrCriticite.identifiant",1,1,"",""
"FrCriticite.code","FrCriticite.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"FrCriticite.code",1,1,"",""
"FrCriticite.statut","FrCriticite.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"FrCriticite.statut",1,1,"",""
"FrCriticite.date","FrCriticite.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"FrCriticite.date",1,1,"",""
"FrCriticite.descriptionNarrative","FrCriticite.descriptionNarrative","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"FrCriticite.descriptionNarrative",1,1,"",""
"FrCriticite.valeur","FrCriticite.valeur","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"FrCriticite.valeur",1,1,"",""
