"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrExamenImagerie","FrExamenImagerie","","","",0,*,"","","","null {[]} {[]}
","Examen Imagerie","Entrée DICOM Examen Imagerie","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrExamenImagerie.uuidInstanceExamen","FrExamenImagerie.uuidInstanceExamen","","","",1,*,"","","","Identifier {[]} {[]}
","UUID instance examen","UUID instance examen","","","","","","","","","",,,,,"",,,,"FrExamenImagerie.uuidInstanceExamen",1,*,"",""
"FrExamenImagerie.codeActe","FrExamenImagerie.codeActe","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'acte","Code de l'acte","","","","","","","","","",,,,,"",,,,"FrExamenImagerie.codeActe",1,1,"",""
"FrExamenImagerie.description","FrExamenImagerie.description","","","",0,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"FrExamenImagerie.description",0,1,"",""
"FrExamenImagerie.dateActe","FrExamenImagerie.dateActe","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l'acte","Date de l'acte","","","","","","","","","",,,,,"",,,,"FrExamenImagerie.dateActe",0,1,"",""
"FrExamenImagerie.serieImagerie","FrExamenImagerie.serieImagerie","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/FrSerieImagerie {[]} {[]}
","Serie-imagerie","Serie-imagerie","","","","","","","","","",,,,,"",,,,"FrExamenImagerie.serieImagerie",1,1,"",""
"FrExamenImagerie.objectifsReferences","FrExamenImagerie.objectifsReferences","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Objectifs de reference","Objectifs de reference","","","","","","","","","",,"","jdv-imagerie-objectif-reference-cisis (1.2.250.1.213.1.1.5.672)","","",,,,"FrExamenImagerie.objectifsReferences",0,*,"",""
