"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-habitus-mode-de-vie-entree","fr-lm-habitus-mode-de-vie-entree","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Habitus Mode de vie","Entrée Habitus Mode de vie","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-habitus-mode-de-vie-entree.identifiant","fr-lm-habitus-mode-de-vie-entree.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.identifiant",1,1,"",""
"fr-lm-habitus-mode-de-vie-entree.code","fr-lm-habitus-mode-de-vie-entree.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée. Élément observé","Code de l'entrée. Élément observé","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.code",1,1,"",""
"fr-lm-habitus-mode-de-vie-entree.description","fr-lm-habitus-mode-de-vie-entree.description","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.description",1,1,"",""
"fr-lm-habitus-mode-de-vie-entree.statut","fr-lm-habitus-mode-de-vie-entree.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.statut",1,1,"",""
"fr-lm-habitus-mode-de-vie-entree.horodatage","fr-lm-habitus-mode-de-vie-entree.horodatage","","","",0,1,"","","","dateTime {[]} {[]}
","Horodatage de l'entrée","Horodatage de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.horodatage",0,1,"",""
"fr-lm-habitus-mode-de-vie-entree.resultat","fr-lm-habitus-mode-de-vie-entree.resultat","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Résultat de l’observation effectuée","Résultat de l’observation effectuée","","","","","","","","","",,,,,"",,,,"fr-lm-habitus-mode-de-vie-entree.resultat",1,1,"",""
