"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"GraviteEffetIndesirable","GraviteEffetIndesirable","","","",0,*,"","","","null {[]} {[]}
","Gravite effet indesirable","Modèle logique métier de l'entrée Gravite effet indesirable","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"GraviteEffetIndesirable.code","GraviteEffetIndesirable.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"GraviteEffetIndesirable.code",1,1,"",""
"GraviteEffetIndesirable.description","GraviteEffetIndesirable.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"GraviteEffetIndesirable.description",1,1,"",""
"GraviteEffetIndesirable.statut","GraviteEffetIndesirable.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"GraviteEffetIndesirable.statut",1,1,"",""
"GraviteEffetIndesirable.niveauGravite","GraviteEffetIndesirable.niveauGravite","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Niveau de gravité","Niveau de gravité","","","","","","","","","",,,,,"",,,,"GraviteEffetIndesirable.niveauGravite",1,1,"",""
