"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrDirectiveAnticipee","FrDirectiveAnticipee","","","",0,*,"","","","null {[]} {[]}
","Directive anticipée","Entrée Directive anticipée","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrDirectiveAnticipee.identifiant","FrDirectiveAnticipee.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.identifiant",1,1,"",""
"FrDirectiveAnticipee.code","FrDirectiveAnticipee.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de la directive anticipée","Type de la directive anticipée","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.code",1,1,"",""
"FrDirectiveAnticipee.description","FrDirectiveAnticipee.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.description",1,1,"",""
"FrDirectiveAnticipee.statut","FrDirectiveAnticipee.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""completed""/>","","","",,,,,"",,,,"FrDirectiveAnticipee.statut",1,1,"",""
"FrDirectiveAnticipee.date","FrDirectiveAnticipee.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de la directive anticipée","Date de la directive anticipée","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.date",1,1,"",""
"FrDirectiveAnticipee.valeurDirectiveIdentifiee","FrDirectiveAnticipee.valeurDirectiveIdentifiee","","","",0,1,"","","","boolean {[]} {[]}
","Procédure autorisée ou pas","Procédure autorisée ou pas","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.valeurDirectiveIdentifiee",0,1,"",""
"FrDirectiveAnticipee.reference","FrDirectiveAnticipee.reference","","","",0,1,"","","","BackboneElement {[]} {[]}
","Référence à un document externe","Référence à un document externe","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.reference",0,1,"",""
"FrDirectiveAnticipee.documentEncapsule","FrDirectiveAnticipee.documentEncapsule","","","",0,1,"","","","Base {[]} {[]}
","Document encapsulé en B64","Document encapsulé en B64","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.documentEncapsule",0,1,"",""
"FrDirectiveAnticipee.documentEncapsule.observationMedia","FrDirectiveAnticipee.documentEncapsule.observationMedia","","","",1,1,"","","","Base {[]} {[]}
","Observation média","Observation média","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.documentEncapsule.observationMedia",1,1,"",""
"FrDirectiveAnticipee.documentEncapsule.observationMedia.identifiant","FrDirectiveAnticipee.documentEncapsule.observationMedia.identifiant","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant de l’observationMedia","Identifiant de l’observationMedia","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.documentEncapsule.observationMedia.identifiant",0,1,"",""
"FrDirectiveAnticipee.documentEncapsule.observationMedia.documentEncapsuleEncode","FrDirectiveAnticipee.documentEncapsule.observationMedia.documentEncapsuleEncode","","","",0,1,"","","","base64Binary {[]} {[]}
","Document encapsulé encodée en Base64","Document encapsulé encodée en Base64","","","","","","","","","",,,,,"",,,,"FrDirectiveAnticipee.documentEncapsule.observationMedia.documentEncapsuleEncode",0,1,"",""
