"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrReferenceInterne","FrReferenceInterne","","","",0,*,"","","","null {[]} {[]}
","Référence interne","Entrée Référence interne","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrReferenceInterne.identifiant","FrReferenceInterne.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"FrReferenceInterne.identifiant",1,1,"",""
"FrReferenceInterne.code","FrReferenceInterne.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'élément référencé.  
 - Le 'code' est obligatoire et doit être identique au code de l'élément référencé.  
 - Si l'élément référencé n'a pas codé, alors le 'code' doit être nullFlavor='NA'.","Code de l'élément référencé.  
 - Le 'code' est obligatoire et doit être identique au code de l'élément référencé.  
 - Si l'élément référencé n'a pas codé, alors le 'code' doit être nullFlavor='NA'.","","","","","","","","","",,,,,"",,,,"FrReferenceInterne.code",1,1,"",""
