"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrQuantiteProduit","FrQuantiteProduit","","","",0,*,"","","","null {[]} {[]}
","Quantité de produit","Entrée Quantité de produit","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrQuantiteProduit.independant","FrQuantiteProduit.independant","","","",1,1,"","","","boolean {[]} {[]}
","Booléen. Valeur fixée à 'false'","Booléen. Valeur fixée à 'false'","","","","","","","","","",,,,,"",,,,"FrQuantiteProduit.independant",1,1,"",""
"FrQuantiteProduit.quantiteProduit","FrQuantiteProduit.quantiteProduit","","","",1,1,"","","","Quantity {[]} {[]}
","Quantité de produit","Quantité de produit","","","","","","","","","",,,,,"",,,,"FrQuantiteProduit.quantiteProduit",1,1,"",""
