"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrGraviteEffetIndesirable","FrGraviteEffetIndesirable","","","",0,*,"","","","null {[]} {[]}
","Gravite effet indesirable","Entrée Gravite effet indesirable","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrGraviteEffetIndesirable.code","FrGraviteEffetIndesirable.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"FrGraviteEffetIndesirable.code",1,1,"",""
"FrGraviteEffetIndesirable.description","FrGraviteEffetIndesirable.description","","","",1,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"FrGraviteEffetIndesirable.description",1,1,"",""
"FrGraviteEffetIndesirable.statut","FrGraviteEffetIndesirable.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"FrGraviteEffetIndesirable.statut",1,1,"",""
"FrGraviteEffetIndesirable.niveauGravite","FrGraviteEffetIndesirable.niveauGravite","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Niveau de gravité","Niveau de gravité","","","","","","","","","",,,,,"",,,,"FrGraviteEffetIndesirable.niveauGravite",1,1,"",""
