"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrCertitude","FrCertitude","","","",0,*,"","","","null {[]} {[]}
","Certitude","Entrée Certitude","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrCertitude.identifiant","FrCertitude.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"FrCertitude.identifiant",1,1,"",""
"FrCertitude.code","FrCertitude.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"FrCertitude.code",1,1,"",""
"FrCertitude.statut","FrCertitude.statut","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"FrCertitude.statut",1,1,"",""
"FrCertitude.date","FrCertitude.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"FrCertitude.date",1,1,"",""
"FrCertitude.descriptionNarrative","FrCertitude.descriptionNarrative","","","",1,1,"","","","Narrative {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"FrCertitude.descriptionNarrative",1,1,"",""
"FrCertitude.valeur","FrCertitude.valeur","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"FrCertitude.valeur",1,1,"",""
