"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FrSOPInstance","FrSOPInstance","","","",0,*,"","","","null {[]} {[]}
","SOP Instance","Entrée SOP Instance","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FrSOPInstance.uuidSOPInstance","FrSOPInstance.uuidSOPInstance","","","",1,*,"","","","Identifier {[]} {[]}
","UUID SOP instance","UUID SOP instance","","","","","","","","","",,,,,"",,,,"FrSOPInstance.uuidSOPInstance",1,*,"",""
"FrSOPInstance.classeSOP","FrSOPInstance.classeSOP","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Classe SOP","Classe SOP","","","","","","","","","",,"","JDV-SOPClass_CISIS (1.2.250.1.213.1.1.5.689)","","",,,,"FrSOPInstance.classeSOP",1,1,"",""
"FrSOPInstance.description","FrSOPInstance.description","","","",0,1,"","","","Narrative {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"FrSOPInstance.description",0,1,"",""
"FrSOPInstance.statut","FrSOPInstance.statut","","","",1,1,"","","","code {[]} {[]}
","status de l'observation","status de l'observation","","","","","","","","","",,,,,"",,,,"FrSOPInstance.statut",1,1,"",""
"FrSOPInstance.date","FrSOPInstance.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"FrSOPInstance.date",0,1,"",""
"FrSOPInstance.nombreCadresReferences","FrSOPInstance.nombreCadresReferences","","","",0,1,"","","","integer {[]} {[]}
","Nombres de cadres référencés","Nombres de cadres référencés","","","","","","","","","",,,,,"",,,,"FrSOPInstance.nombreCadresReferences",0,1,"",""
