"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"StructureConservationDocument","StructureConservationDocument","","","",0,*,"","","","null {[]} {[]}
","1.4- Structure chargée de la conservation du document","La structure chargée de la conservation du document, c'est-à-dire de garder physiquement le document qui lui est confié tout en garantissant son cycle de vie.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"StructureConservationDocument.identifiantStructure","StructureConservationDocument.identifiantStructure","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de la structure.","Identifiant de la structure.","","","","","","","","","",,,,,"",,,,"StructureConservationDocument.identifiantStructure",1,1,"",""
"StructureConservationDocument.nomStructure","StructureConservationDocument.nomStructure","","","",0,1,"","","","string {[]} {[]}
","Nom de la structure.","Nom de la structure.","","","","","","","","","",,,,,"",,,,"StructureConservationDocument.nomStructure",0,1,"",""
"StructureConservationDocument.coordonneesTelecomStructure","StructureConservationDocument.coordonneesTelecomStructure","","","",0,1,"","","","ContactPoint {[]} {[]}
","Coordonnées télécom de la structure.","Coordonnées télécom de la structure.","","","","","","","","","",,,,,"",,,,"StructureConservationDocument.coordonneesTelecomStructure",0,1,"",""
"StructureConservationDocument.adresseStructure","StructureConservationDocument.adresseStructure","","","",0,1,"","","","Address {[]} {[]}
","Adresse.","Adresse.","","","","","","","","","",,,,,"",,,,"StructureConservationDocument.adresseStructure",0,1,"",""
